"Trait.disorder","OMIA.number","Species","Symbol","Name","Other.symbols","Other.descs"
"Encephalopathy, ASPA-related",2325,"domestic cat","ASPA","aspartoacylase","",""
"Forebrain commissural malformation, ventriculomegaly and interhemispheric cysts, GDF7-related",2366,"domestic cat","GDF7","growth differentiation factor 7","",""
"Spinal muscular atrophy, LIX1-related",2389,"domestic cat","LIX1","Lix1 homolog (chicken)","",""
"Xanthinuria, type I",2445,"dog, domestic cat","XDH","xanthine dehydrogenase","",""
"Hair shaft dysplasia, DSG4-related",2452,"domestic cat","DSG4","desmoglein 4","",""
"Retinopathy, RDH5-related",2469,"domestic cat","RDH5","retinol dehydrogenase 5 (11-cis/9-cis)","",""
"Skeletal dysplasia, LTBP3-related",2485,"domestic cat","LTBP3","latent transforming growth factor beta binding protein 3","",""
"Polycystic kidney disease-2",2525,"domestic cat, pig","PKD2","polycystic kidney disease 2 (autosomal dominant)","",""
"Enteropathy-associated T cell lymphoma, inducer of",2526,"domestic cat","STAT5B","signal transducer and activator of transcription 5B","",""
"Osteogenesis imperfecta, CREB3L1-related",2533,"domestic cat","CREB3L1","cAMP responsive element binding protein 3-like 1","",""
"Chondrodysplasia, UGDH-related",2541,"domestic cat","UGDH","UDP-glucose 6-dehydrogenase","",""
"Multiple acyl-CoA dehydrogenase deficiency",1457,"domestic cat","ETFDH","electron-transferring-flavoprotein dehydrogenase","",""
"Coat colour and pattern, charcoal, ASIP-related",2549,"domestic cat","ASIP","agouti signaling protein","",""
"Osteochondromatosis, EXT1-related",2554,"domestic cat","EXT1","exostosin glycosyltransferase 1","",""
"Cat allergen",2593,"domestic cat","CH2","major allergen I, polypeptide chain 2","",""
"Pyknodysostosis",2607,"domestic cat","CTSK","cathepsin K","",""
"Sebaceous gland dysplasia, SOAT1-related",2669,"domestic cat","SOAT1","sterol O-acyltransferase 1","",""
"Frontonasal dysplasia, ALX1-related",2717,"domestic cat","ALX1","ALX homeobox 1","",""
"Epidermolysis bullosa, junctionalis, COL17A1-related",2793,"domestic cat","COL17A1","collagen, type XVII, alpha 1","",""
"Epileptic encephalopathy, CAD-related",2939,"domestic cat","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","",""
"Cardiomyopathy, hypertrophic, MYBPC3-related, autosomal dominant",2951,"domestic cat","MYBPC3","myosin binding protein C3","",""
"Cardiomyopathy, hypertrophic, MYBPC3-related, autosomal recessive",2952,"domestic cat","MYBPC3","myosin binding protein C3","",""
"REM sleep behaviour disorder, FAM8A1-related",2959,"domestic cat","FAM8A1","family with sequence similarity 8 member A1","",""
"Deafness, LHFPL5-related",3031,"domestic cat","LHFPL5","LHFPL tetraspan subfamily member 5","",""
"Osteogenesis imperfecta, BMP1-related",3044,"domestic cat","BMP1","bone morphogenetic protein 1","",""
